Name,CID,CID,Formula,MW/g/mol,XLogP,HB Donors,HB Acceptors,Rotatable Bonds,TPSA A2,Lipinski Ro5,SMILES
Gefitinib,123631,123631,C22H24ClFN4O3,446.9,4.1,1,8,8,68.7,pass,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
Erlotinib,176870,176870,C22H23N3O4,393.4,3.3,1,7,11,74.7,pass,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
Afatinib,10184653,10184653,C24H25ClFN5O3,485.9,3.6,2,8,8,88.6,pass,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4
Dacomitinib,11511120,11511120,C24H25ClFN5O2,469.9,4.4,2,7,7,79.4,pass,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4
Osimertinib,71496458,71496458,C28H33N7O2,499.6,3.7,2,7,10,87.6,pass,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
Rociletinib,57335384,57335384,C27H28F3N7O3,555.6,4.0,3,11,8,112.0,fail (2 violations),CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)C(F)(F)F)OC
Lapatinib,208908,208908,C29H26ClFN4O4S,581.1,5.1,2,9,11,115.0,fail (2 violations),CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
Neratinib,9915743,9915743,C30H29ClN6O3,557.0,4.9,2,8,11,112.0,pass,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C
Vandetanib,3081361,3081361,C22H24BrFN4O2,475.4,4.9,1,7,6,59.5,pass,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
Mobocertinib,118607832,118607832,C32H39N7O4,585.7,4.4,2,9,13,114.0,pass,CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
